Crop Type,Variety,Soil Type,Soil pH,Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),Organic Matter (%),Temperature (°C),Precipitation (mm),Fertilizer Type,Fertilizer Amount (kg/ha),Irrigation Type,Irrigation Frequency,Yield (kg/ha),Quality (Grade)
Rice,C,Loamy,5.7,64.92,6.62,38.52,5,21.3,99,Compost,30.74,Manual,Biweekly,1167.76,C
Cotton,B,Clay,8,87.21,9.44,25.11,1.08,17.4,143.5,Organic,51.57,Manual,Monthly,5357.84,A
Soybean,E,Silty,6.2,61.13,19.18,67.98,2.51,32.5,130.8,Urea,39.24,Manual,Monthly,7753.86,A
Maize,A,Clay,7.6,45.38,45.07,54.67,2.54,32.5,14.9,DAP,44.09,Sprinkler,Monthly,4152.75,A
Rice,A,Sandy,6.6,53.46,26.92,96,2.02,25.4,195.3,Compost,69.93,Drip,Biweekly,6103.1,B
Cotton,A,Sandy,5.6,87.6,32.51,54.23,4.03,16.8,129.9,Urea,39.24,Manual,Daily,2223.98,E
Wheat,A,Loamy,6.5,32.38,37.97,69.4,4.11,15.3,81.7,Urea,28.13,Flood,Monthly,5828.71,A
Maize,C,Sandy,6.2,70.64,8.98,97.23,2.06,26.4,141,Compost,35.39,Manual,Daily,5894.98,E
Soybean,D,Sandy,5.7,13.01,45.79,22.3,4.1,31.6,22.2,Compost,27.91,Sprinkler,Daily,5500.86,D
Soybean,D,Clay,7.8,85.46,15.83,40.8,3.9,31.5,117.6,Organic,57.25,Flood,Weekly,5676.08,B
Cotton,D,Silty,6.6,35.67,27.12,65.85,2.3,23.9,14.2,MOP,40.37,Sprinkler,Biweekly,7978.53,C
Maize,E,Peaty,5.8,58.64,22.8,86.36,4.02,18.5,67.4,Organic,97.25,Manual,Weekly,3721.32,D
Rice,E,Peaty,7.3,20.15,16.12,11.48,1.04,17.1,145.2,Urea,97.24,Sprinkler,Biweekly,2376.5,E
Wheat,E,Peaty,6.2,34.25,40.14,60.24,4.92,34.4,76.8,MOP,29.22,Flood,Daily,2088.6,D
Rice,C,Clay,6.7,11.91,8.73,11.86,3.05,31,115.5,Urea,63.41,Sprinkler,Monthly,7341.27,C
Maize,C,Peaty,5.8,19.79,14.32,52.38,3.53,29.2,188.6,Urea,98.79,Manual,Weekly,5014.87,D
Soybean,B,Silty,7.4,20.88,45.24,53.11,3.46,18.7,144.1,DAP,63.46,Manual,Weekly,2223.23,A
Wheat,C,Sandy,5.8,86.17,11.51,77.52,2.62,28.3,56.7,Compost,49.69,Manual,Biweekly,7082.83,D
Cotton,C,Clay,7.6,10.86,34.03,17.11,3.27,26.6,140.5,DAP,46.93,Sprinkler,Weekly,4480.9,E
Wheat,A,Peaty,7.7,90.99,46.83,93.46,1.31,25.7,104.1,Urea,25.78,Drip,Biweekly,6702.73,E
Soybean,D,Silty,7.4,12.25,5.23,82.87,3.84,22.9,104.6,DAP,35.06,Flood,Weekly,4274.15,D
Rice,E,Loamy,6.9,38.95,11.62,94.92,1.27,17.3,157.8,MOP,93.03,Manual,Monthly,3429.91,D
Soybean,D,Silty,6.2,83.78,39.77,37.07,4.27,28.1,105.3,Organic,20.7,Sprinkler,Monthly,2894.58,A
Maize,D,Silty,6.5,32.01,33.27,50.09,2.57,17.9,108.4,Organic,66.14,Sprinkler,Weekly,7612.09,C
Cotton,A,Clay,7.2,67.32,17.55,89,3.68,27.1,35.5,Organic,25.64,Flood,Weekly,5512.99,A
Wheat,A,Clay,6.5,77.41,8.89,11.2,3.87,31.6,116.7,Compost,88.84,Manual,Daily,6734.21,D
Cotton,A,Silty,6.4,68.63,29.06,82.87,2.59,32.9,54.5,MOP,47.64,Sprinkler,Weekly,1773.47,A
Cotton,E,Loamy,6.6,19.75,42.08,46.18,3.1,16.4,30,MOP,54.41,Flood,Weekly,6589.73,C
Wheat,D,Peaty,5.7,76.6,43.88,46.01,3.17,16.6,113.2,MOP,84.94,Manual,Biweekly,3838.58,E
Maize,E,Clay,7.9,72.74,12.89,67.39,4.77,26.5,66.6,DAP,61.84,Manual,Daily,3296.07,D
Maize,D,Sandy,6.4,28.02,24.55,21.84,3.98,19.1,170.9,MOP,53.8,Flood,Monthly,1992.98,D
Rice,E,Loamy,7.1,34.18,10.98,44.1,4.67,18.4,87.3,Compost,61.2,Flood,Daily,2319.97,B
Soybean,A,Clay,7.1,76.74,15.3,28.01,2.14,30.8,173.7,Organic,50.27,Sprinkler,Monthly,7923.83,E
Cotton,D,Loamy,7.1,73.45,42.96,94.49,4.13,24,101.4,Organic,44.59,Sprinkler,Weekly,6571.17,E
Cotton,B,Loamy,7,48.55,48.6,34.21,3.25,19.1,164.2,DAP,88.68,Manual,Daily,6227.62,B
Soybean,B,Clay,7.9,53.39,46.02,90.26,2.96,31.9,42.9,Compost,55.71,Manual,Biweekly,1683.97,C
Cotton,A,Peaty,7.5,47.73,29.56,67.19,2.51,18.4,185.5,DAP,41.17,Manual,Monthly,2404.28,A
Cotton,B,Clay,6.6,97.67,48.39,59.41,1.12,15.9,191.8,Urea,43.11,Drip,Daily,2194.7,A
Wheat,C,Loamy,7.6,96.75,32.69,57.46,2.37,19,76.2,DAP,51.78,Sprinkler,Biweekly,7638.97,B
Rice,D,Peaty,5.8,10.18,37.72,15.22,1.56,15.8,161.4,MOP,50.33,Flood,Monthly,5870.43,E
Rice,C,Sandy,7.5,41.93,44.42,99.06,1.98,15.6,177.7,Compost,56.9,Flood,Weekly,7564.6,C
Maize,D,Loamy,8,85.65,21.56,40.25,1.08,29.5,63,Urea,44.46,Drip,Monthly,2015.09,A
Soybean,C,Silty,7.4,47.81,45.29,28.89,3.61,21.2,174.3,Urea,99.66,Sprinkler,Weekly,5854.49,B
Soybean,B,Silty,6.4,22.68,49.2,15.79,1.22,15,20.1,DAP,21.44,Manual,Weekly,3958.75,B
Soybean,E,Loamy,6.6,76.7,46.57,27.51,1.22,21.7,162.7,Urea,86.71,Drip,Weekly,1524.59,B
Maize,D,Silty,6.9,30.27,43.66,99.38,2.62,22.5,179.8,Urea,96.37,Sprinkler,Daily,3263.65,C
Rice,D,Loamy,6.6,28.29,32.85,74.68,4.69,16.6,146.9,DAP,49.16,Drip,Monthly,1335.39,B
Maize,E,Loamy,5.9,79,19.07,42.01,1.56,29.1,22.9,Urea,95.21,Manual,Daily,5296.35,C
Soybean,B,Sandy,6.3,13.08,37.3,10.02,4.76,27.5,35.2,Organic,30.08,Sprinkler,Monthly,4593.04,E
Cotton,D,Loamy,6,19.09,7.6,20.03,2.19,18.7,149.2,MOP,30.07,Manual,Monthly,2029.17,D
Maize,B,Peaty,7.8,84.27,28.6,51.97,3.75,34.4,16.2,DAP,24.75,Sprinkler,Biweekly,2325.54,E
Cotton,D,Loamy,6.5,71.5,28.04,65.14,1.15,31.8,148.7,Compost,40.29,Sprinkler,Daily,5505.82,B
Cotton,E,Loamy,7.1,64.45,21.21,37.44,4.85,16.7,172.6,Organic,21.38,Sprinkler,Daily,3072.94,D
Cotton,A,Silty,6.2,63.2,44.83,86.13,3.85,18.4,164.9,MOP,92.61,Sprinkler,Biweekly,2101.64,C
Cotton,C,Sandy,6.3,44.72,16.81,65.42,3.96,22.4,173.5,MOP,37.79,Flood,Weekly,7642.99,A
Cotton,A,Peaty,6.7,11.97,48.26,52.35,4.36,31,183.6,Organic,48.68,Manual,Monthly,7242.97,B
Maize,B,Loamy,7.8,54.31,43.16,22.74,4.73,19.7,70.5,Urea,65.13,Sprinkler,Daily,4072.94,B
Cotton,A,Clay,7.8,96.72,12.92,62.92,3.52,15.4,61.1,Organic,78.45,Manual,Daily,6152.55,C
Wheat,D,Peaty,6.4,44.93,23.48,64.83,1.9,33.5,39.7,DAP,87.35,Flood,Weekly,4922.2,D
Rice,D,Clay,7.8,49.72,25.91,72.81,4.13,28.2,73.3,DAP,80.44,Manual,Monthly,2691.2,A
Rice,C,Peaty,8,10.37,49.06,87.13,3.92,31.3,41.2,Urea,47.82,Sprinkler,Monthly,6074.52,D
Soybean,A,Sandy,5.8,64.73,47.06,39.72,2.22,32.6,132,MOP,40.26,Drip,Monthly,1809.75,B
Wheat,B,Sandy,6.5,35.86,48.85,10.27,3.4,16.4,145.9,Compost,98.41,Flood,Weekly,1772.07,B
Soybean,D,Silty,6.6,40.45,20.78,96.75,4,17.1,163.4,Urea,93.17,Flood,Monthly,4187.67,C
Wheat,E,Silty,6.2,82.55,46.25,45.39,2.33,29.2,51.2,MOP,55.03,Flood,Monthly,7375.25,C
Soybean,D,Peaty,5.6,68.39,31.37,12.74,4.7,20.2,94.4,DAP,72.59,Sprinkler,Biweekly,6403.42,B
Maize,A,Sandy,6.5,53.08,33.15,18.5,1.22,21.3,42.8,DAP,53,Flood,Daily,3833.59,B
Wheat,C,Silty,7.8,58.63,42.81,82.54,2.87,25.4,161.4,DAP,47.02,Sprinkler,Monthly,4501.3,B
Cotton,A,Peaty,6.3,10.36,16.61,92.7,4.46,20.4,4.1,Organic,95.23,Sprinkler,Weekly,3447.52,E
Wheat,E,Sandy,7.4,70.03,7.28,61.38,1.4,22.8,181.3,Compost,29.49,Drip,Weekly,5193.7,B
Soybean,E,Sandy,6.4,67.92,38.69,59.55,2.75,17.4,126.3,Urea,82.68,Drip,Monthly,4115.67,B
Wheat,C,Clay,6.2,35.63,9.2,76.09,4.37,25.9,34,MOP,78.84,Flood,Biweekly,5155.16,D
Rice,D,Loamy,5.7,97.52,43.17,23.28,3.21,23.8,158.2,MOP,34.15,Sprinkler,Monthly,4673.67,B
Rice,C,Silty,6.3,52.27,28.52,41.24,2.76,30.4,165.6,Compost,38.54,Drip,Daily,2735.85,E
Maize,D,Clay,5.8,97.59,32.3,73.42,3.39,31.6,142.1,Urea,73.89,Manual,Daily,2586.26,C
Rice,B,Loamy,5.5,54.13,34.82,73.31,3.9,29.9,193.8,Organic,34.95,Manual,Daily,2506.52,A
Maize,C,Loamy,6.9,38.4,45.72,98.17,4.07,21.7,83.6,MOP,80.92,Sprinkler,Weekly,6677.3,E
Wheat,A,Silty,6.1,72.72,16.02,43.95,3.2,29.9,193.4,Urea,48.21,Manual,Biweekly,7494.37,E
Maize,A,Peaty,7.3,47.99,12.76,89.66,1.41,25.2,51.8,Compost,34.36,Drip,Biweekly,1600.09,E
Wheat,C,Silty,6.3,62.9,24.46,76.19,4.61,18.7,37.1,Urea,20.6,Sprinkler,Daily,2772.35,B
Wheat,D,Clay,6.5,49.68,21.93,99.81,2.74,23,119.9,Urea,48.78,Manual,Weekly,4572.36,D
Soybean,A,Sandy,5.8,72.88,29.98,18.68,4.4,31.6,173.4,MOP,37.25,Flood,Weekly,6954.07,B
Rice,B,Loamy,7.6,42.38,8.83,89.43,3.62,18.1,26.5,DAP,88.12,Drip,Biweekly,3387.84,E
Rice,D,Sandy,5.8,83.2,43.46,46.68,4.13,20.4,61.9,MOP,23.13,Manual,Daily,2758.91,C
Rice,C,Clay,7.5,42.4,39.27,76.76,2.44,33.6,77.5,Urea,57.35,Flood,Weekly,6049.61,E
Cotton,B,Silty,6.4,44.91,43.69,37.49,2.44,16.5,60.6,Compost,79.64,Sprinkler,Monthly,6717.66,D
Rice,D,Peaty,8,12.89,20.78,24,2.35,28.7,138.5,Organic,69.52,Flood,Monthly,5476.86,E
Soybean,A,Loamy,7.6,61.79,43.41,74.7,2.03,15.6,189.8,Organic,43.19,Sprinkler,Biweekly,6717.42,E
Wheat,D,Sandy,7.1,67.01,31.93,52.92,4.01,33.1,24.9,Organic,97.44,Drip,Daily,2136.79,A
Soybean,D,Peaty,6.2,15.52,13.73,79.51,3.57,33.9,40,DAP,86.8,Manual,Biweekly,6227.14,E
Maize,B,Peaty,7.3,13.25,21.52,63.4,2.21,17.4,52.2,Urea,46.7,Manual,Biweekly,6901.56,B
Maize,A,Peaty,7.6,81.43,23.72,76.71,3.14,33.4,8,DAP,60.33,Flood,Monthly,6313.83,E
Cotton,D,Clay,7.4,74.51,31.71,10.92,4.22,21.8,138.8,Urea,64.73,Drip,Weekly,3452.55,B
Cotton,C,Peaty,6.3,94.06,24.51,33.89,1.39,25.6,79.8,Urea,99.14,Sprinkler,Monthly,1376.48,E
Wheat,B,Peaty,7.9,94.14,27.59,46.24,4.63,31.6,174.6,Urea,35.56,Drip,Weekly,4942.41,D
Soybean,C,Peaty,7.7,53.45,11.18,71.3,2.2,20.9,28.2,Compost,76.6,Manual,Monthly,3419.93,E
Cotton,B,Loamy,5.9,14.33,24.63,46.61,2.57,32.7,59.8,DAP,78.27,Drip,Weekly,7807.3,A
Rice,C,Peaty,5.8,45.79,43.76,95.29,1.69,26.5,160.9,DAP,60.37,Flood,Weekly,4774.24,E
Maize,E,Clay,5.7,90.9,35.55,98.99,3.77,34.3,172.1,Compost,42.68,Flood,Weekly,3690.8,E
Rice,C,Loamy,7,69.83,39.21,55.57,1.16,17.5,123.2,Compost,27.12,Sprinkler,Monthly,6604.26,D
Maize,A,Peaty,7.9,94.08,43.7,70.13,1.01,17.7,47.4,Compost,45.29,Sprinkler,Daily,4570.77,A
Rice,D,Silty,6.6,56.68,5.12,22.61,1.26,24.4,126.5,Organic,38.03,Manual,Monthly,5764.57,C
Maize,B,Loamy,6,93.58,14.09,80.96,3.48,23.3,58.8,DAP,91.62,Flood,Weekly,4194.98,D
Cotton,D,Peaty,7.5,22.51,23.14,74.22,3.13,34.8,126.8,Compost,50.01,Flood,Weekly,6437.98,C
Cotton,A,Clay,7.8,48.18,36.82,30.11,2.01,28.4,195.7,Urea,64.29,Manual,Daily,4902.87,C
Cotton,D,Sandy,7.4,49.33,7.31,58.84,3.67,20.4,165.6,DAP,32.29,Flood,Weekly,5026.12,A
Cotton,D,Loamy,7.6,75.13,11.35,19.64,3.12,18.9,177.1,DAP,34.05,Flood,Monthly,7830.36,A
Maize,A,Sandy,7.3,76.65,18.38,81.33,4.89,21,76.4,Compost,26.64,Flood,Daily,5230.59,E
Soybean,D,Loamy,7.7,81,8.65,40.2,2.94,22.8,1.6,DAP,26.12,Drip,Weekly,7291.85,B
Wheat,A,Sandy,6.6,97.78,11.56,45.98,3.12,17.9,164.3,Compost,90.99,Drip,Daily,4124.87,D
Cotton,A,Peaty,7.8,34.07,16.36,75.51,1.31,32.2,29.1,Organic,36.52,Manual,Daily,6359.93,A
Cotton,A,Loamy,5.7,81.08,31.24,54.63,1.22,27.8,69.3,DAP,21.08,Drip,Daily,1128.2,D
Rice,E,Silty,7.5,16.45,24.77,39.07,3.5,28.5,32.3,MOP,22.56,Sprinkler,Monthly,3476.86,E
Wheat,A,Loamy,7.1,83.3,32.65,53.69,1.04,28.6,28.9,Organic,66.42,Flood,Biweekly,1077.8,E
Maize,D,Loamy,7.1,80.2,36.05,19.41,3.03,34.6,51.9,Compost,45.93,Sprinkler,Biweekly,6691.77,C
Soybean,A,Peaty,7.9,22.76,20.71,13.78,4.72,21.5,178.5,MOP,41.67,Flood,Daily,5866.51,B
Cotton,C,Clay,6.6,49.87,21.39,78.69,2.09,22.7,117.2,MOP,99.18,Drip,Biweekly,6573.13,A
Rice,E,Sandy,7.7,51.83,24.37,18.17,3.31,23.5,172,DAP,94.4,Drip,Monthly,4897.67,E
Maize,A,Sandy,6.2,64.44,18.14,48.5,1.6,33.1,67,Urea,84.79,Sprinkler,Daily,6639.63,A
Rice,D,Silty,6.8,97.41,42.1,77.9,1.41,26.3,44.8,Urea,51.11,Manual,Weekly,2453.52,A
Maize,D,Silty,6.6,61.39,24.89,75.92,3.63,29.3,152.7,Compost,67.64,Flood,Weekly,2704.31,E
Wheat,B,Clay,8,63.88,26.99,73.24,1.61,32.8,112.1,Organic,73.53,Sprinkler,Biweekly,4900.9,B
Cotton,C,Loamy,6.8,98.27,28.51,42.57,2.23,29.3,122.4,Compost,69.21,Manual,Biweekly,2753.84,D
Soybean,A,Clay,6.8,44.04,19.62,11.45,1.87,25.6,38.3,Urea,60.26,Sprinkler,Daily,7133.63,A
Soybean,A,Clay,6.2,79.67,21.95,71.18,1.16,16.2,46.1,Organic,90.47,Flood,Biweekly,7650.6,C
Maize,A,Clay,6.3,24.68,35.86,41.92,4.81,15.1,148.4,Organic,23.58,Manual,Weekly,2196.39,A
Soybean,B,Sandy,6,40.21,49.56,86.41,2.44,28,166.2,MOP,59.64,Flood,Monthly,7181.34,E
Wheat,B,Clay,6.4,78.94,41.55,96.65,3.46,19.4,165.9,DAP,93.81,Drip,Biweekly,2423.62,C
Maize,A,Sandy,6.4,94.74,10.37,14.34,2.29,23.7,33.2,Urea,36.33,Sprinkler,Daily,5435.47,D
Wheat,D,Sandy,7.1,14.22,13.94,81.04,1.08,33,149.6,Urea,62.25,Flood,Weekly,7683.73,D
Wheat,E,Peaty,6.1,18.75,15.25,34.82,4,19.9,160,Urea,93.54,Flood,Biweekly,1879.46,B
Soybean,A,Sandy,6.3,35.39,38.48,16.7,4.26,31.1,145.3,DAP,81.05,Manual,Monthly,3640.92,D
Rice,D,Loamy,6.1,16.05,46.64,99.13,3.87,34.6,112.9,Compost,67.7,Manual,Weekly,1094.11,A
Rice,B,Loamy,6.6,54.68,28.42,68.9,2.36,15.6,61.5,Compost,55.06,Sprinkler,Daily,1507.92,E
Cotton,C,Sandy,7.4,93.94,46.09,39.47,1.29,20.2,109.3,Organic,24.32,Sprinkler,Weekly,1766.92,B
Maize,D,Clay,5.5,27.69,14.99,88.77,4.11,26.9,132.4,Organic,68.71,Sprinkler,Biweekly,4838.55,E
Soybean,E,Sandy,6.1,10.03,19.17,53.58,1.5,19,166.8,Organic,49.64,Sprinkler,Biweekly,2075.99,B
Cotton,A,Silty,6.6,49.15,33.23,29.8,2.68,27.2,156.3,MOP,22.6,Manual,Biweekly,2378.15,D
Cotton,C,Clay,8,90.41,32.37,39.48,3.78,25.7,72.9,MOP,99.8,Manual,Biweekly,6158.96,C
Wheat,D,Clay,7.1,37.95,13.12,69.73,2.5,33.9,18.3,Organic,76.68,Drip,Weekly,7289.36,E
Soybean,D,Peaty,5.7,16.29,28.36,27.76,4.43,20.2,146.2,Compost,50.57,Drip,Monthly,7407.24,E
Maize,D,Silty,7,92.55,38.21,94.45,1.62,34.6,102.3,Organic,97.7,Drip,Monthly,5247.26,E
Maize,C,Peaty,7.5,14.44,19.71,95.43,1.89,25,1.2,MOP,22.66,Drip,Biweekly,7641.46,A
Maize,A,Clay,5.9,73.04,13.37,87.45,2.59,18.1,97.8,DAP,46.15,Drip,Biweekly,7472.83,B
Cotton,E,Clay,7.3,13.94,49.45,50.04,4.07,15.3,101.7,Organic,44.62,Drip,Biweekly,5632.04,D
Rice,D,Clay,7.8,84,22.69,21.71,3.97,25.3,2.3,Urea,47.76,Flood,Monthly,5823.8,D
Rice,B,Silty,7.3,23.16,10.27,66.59,4.78,23.2,52.8,DAP,60.77,Flood,Daily,1263.49,C
Soybean,C,Silty,5.6,95.79,42.47,66.41,3.03,28.8,96.7,Organic,82.81,Manual,Monthly,7895.5,A
Wheat,E,Silty,7.7,74.79,25.85,91.88,3.83,31.2,118.5,DAP,24.91,Manual,Daily,5878.93,B
Cotton,C,Loamy,7.4,79.44,8.51,81.24,4.99,25.7,2.8,Urea,58.39,Drip,Daily,7159.53,C
Maize,B,Clay,6.7,13.96,44.17,62.9,1.19,26.8,49.7,MOP,53.24,Drip,Biweekly,1884.45,B
Cotton,B,Sandy,7.6,14.21,17.78,34.07,3.38,17,81.5,DAP,93.89,Flood,Monthly,4950.85,C
Wheat,E,Clay,6,66.28,39.97,61.31,4.89,25.1,191.8,Urea,70.15,Sprinkler,Monthly,4282.59,B
Wheat,B,Loamy,5.9,32.72,11.22,11.05,4.75,28,160.7,Urea,51.35,Drip,Daily,5309.09,A
Cotton,B,Loamy,5.9,87.32,32.68,75.74,3.24,30.3,86.4,DAP,87.77,Sprinkler,Daily,6690.28,E
Wheat,A,Silty,6.5,45.25,33.26,77.16,2.93,31.4,37.7,Urea,68.1,Manual,Weekly,1118.08,A
Cotton,C,Peaty,6.5,95.24,15.12,58.12,3.6,17.9,173.8,DAP,81.65,Manual,Monthly,3744.53,E
Cotton,B,Loamy,5.7,61.97,38.11,89.68,4.69,16.1,84,DAP,81.01,Sprinkler,Monthly,2296.4,C
Wheat,A,Sandy,6.4,36.16,45.62,76.41,1.84,21.6,114.7,Compost,59.07,Drip,Biweekly,7700.65,D
Soybean,D,Peaty,5.5,26.17,38.37,69.76,3.1,29.5,64.1,Urea,57.42,Drip,Monthly,7689.45,D
Wheat,D,Clay,6.2,13.01,32.57,76.87,4.8,22.3,9.6,Organic,93.1,Sprinkler,Monthly,5461.39,D
Maize,D,Loamy,6.5,50.45,39.7,92.14,2.33,28.3,32.7,Compost,36.64,Drip,Weekly,4080.19,C
Cotton,E,Loamy,6.3,93.7,45.53,26.56,1.23,33.3,179.2,DAP,36.55,Drip,Daily,2849.22,A
Maize,B,Clay,6.1,32.48,15.97,28.85,3.59,32.6,115.3,Organic,26.66,Manual,Monthly,1452.68,E
Maize,D,Silty,7.5,83.8,21.79,29.48,1.32,28.2,44.6,Compost,42.65,Flood,Monthly,3843.83,C
Soybean,C,Loamy,5.9,82.45,22.77,92.05,4.76,32.8,171.6,Urea,67.45,Drip,Monthly,2623.61,D
Cotton,C,Clay,6.7,64.67,27.44,15.23,4.28,20.1,17.8,Compost,89.51,Drip,Daily,7114.41,B
Cotton,C,Clay,6.3,34.44,23.28,62.73,3.12,23.2,7.9,DAP,73.14,Flood,Monthly,6225,E
Wheat,C,Sandy,6.3,19.59,9.01,32.06,4.57,28.7,136,Organic,95.87,Manual,Weekly,2659.8,E
Rice,C,Silty,6,30.38,7.42,64.54,1.49,29.6,96.3,MOP,24.71,Drip,Weekly,3664.19,C
Soybean,A,Sandy,7.7,29.74,44.84,84.6,1.71,26.1,84.4,Organic,95.69,Sprinkler,Daily,4371.18,D
Soybean,D,Clay,6.6,91.81,32.43,54.23,2.1,31.5,154.6,DAP,37.09,Drip,Monthly,3946.52,E
Wheat,E,Silty,6.9,32.9,38.34,54.57,3.99,31.9,145.4,Urea,26.05,Flood,Biweekly,4629.66,E
Wheat,B,Silty,7.2,42.51,30.31,99.45,4.29,24.5,17.2,Organic,81.86,Manual,Weekly,1145.88,C
Soybean,B,Sandy,6.9,70.84,39.66,60.75,4.86,30.8,94.6,Urea,55.6,Manual,Daily,4280.27,C
Maize,A,Peaty,6.3,57.95,17.39,65.72,3.64,35,22,Urea,66.59,Flood,Monthly,5947.42,E
Rice,A,Silty,5.8,19.56,29.99,80.34,1.3,27.4,76.4,Urea,96.82,Manual,Daily,1713.19,A
Maize,C,Sandy,7.5,54.28,18.68,88.41,2.86,27.7,11.3,Urea,38.35,Sprinkler,Weekly,5025.77,B
Rice,A,Silty,7.6,15.15,33.78,83.96,3.69,16.7,152.2,MOP,76.37,Flood,Monthly,2829.03,D
Maize,A,Loamy,7.9,79.69,17.65,76.95,3.86,18.2,30.9,MOP,54.52,Sprinkler,Biweekly,5132.24,A
Cotton,E,Loamy,6.1,83.48,9.03,88.21,1.25,24.4,0.5,Organic,43.61,Flood,Daily,5052.97,A
Maize,E,Peaty,6.5,87.67,21.1,60.38,4.8,16.6,21.1,Compost,41.94,Manual,Biweekly,2734.76,D
Soybean,D,Sandy,7,66.67,39.4,28.61,3.69,21,164.4,MOP,68.79,Manual,Weekly,7922.97,E
Cotton,C,Peaty,7.2,83.35,26.27,33.36,2.3,32.2,23.3,MOP,74.83,Drip,Monthly,7032.57,A
Rice,A,Sandy,6.7,37.53,17.1,58.07,1.71,26,43.6,Compost,52.4,Flood,Daily,5742.12,D
Soybean,E,Peaty,7.7,89.8,44.28,37.26,3.45,31.1,14.2,Urea,45.02,Drip,Daily,6682.76,B
Rice,A,Loamy,7.3,81.25,31.79,66.29,1.98,15.8,183.9,Urea,27.21,Drip,Biweekly,2595.2,A
Cotton,E,Loamy,7.8,56.99,48.28,76.6,1.42,28.6,152.4,Urea,93.66,Sprinkler,Biweekly,5417.09,D
Wheat,E,Sandy,6.2,46.98,10.47,85.13,2.92,31.3,31.6,DAP,46.86,Sprinkler,Biweekly,4296.5,E
Soybean,B,Silty,6.6,93.71,13.96,60.07,4.52,23.3,155,Urea,91.41,Sprinkler,Weekly,6650.84,A
Cotton,D,Sandy,6.5,69.85,9.88,12.47,1.42,27.1,115.2,Compost,91.89,Manual,Monthly,6957.52,A
Soybean,A,Loamy,7.1,45.81,43.84,35.29,2.98,15.9,54.6,Compost,86.92,Flood,Monthly,7286.42,C
Maize,C,Sandy,5.7,39.99,31.39,45.89,2.64,29.3,24.1,Compost,74.17,Flood,Daily,4157.76,A
Wheat,E,Clay,6.1,85.04,27.47,82.54,4.55,27.4,85.3,Compost,29.64,Drip,Monthly,1023.23,A
Maize,B,Clay,6.9,58.38,48.52,24.33,4.18,17,101.2,Organic,34.25,Sprinkler,Weekly,7438.26,A
Maize,B,Silty,6.6,48.47,15.99,13.87,3.24,17.7,113.8,Urea,90.88,Flood,Biweekly,7073.68,E
Rice,D,Peaty,7.4,77.39,29.02,74.44,1.68,22.9,94.9,MOP,65.23,Drip,Daily,4830.1,A
Cotton,D,Loamy,8,58.4,42.43,80.13,4.18,18.7,152.1,Urea,54.38,Drip,Monthly,3798.45,E
Maize,A,Clay,7.4,15.64,25.4,35.91,1.27,25.5,2.1,Urea,96.24,Manual,Weekly,3261.01,E
Soybean,A,Clay,5.6,33.45,36.05,81.15,3.31,16.5,24.6,Organic,21.13,Sprinkler,Weekly,2231.62,B
Soybean,D,Silty,6.5,94.61,16.97,32.67,2.57,30.6,0.7,MOP,33.92,Flood,Daily,2287.78,B
Rice,B,Loamy,5.5,51,10.48,60.42,3.15,33.5,81.2,MOP,37.25,Drip,Biweekly,7847.73,C
Cotton,B,Clay,7.5,74.75,21.9,71.64,1.55,15.5,93.8,DAP,47.05,Flood,Weekly,1292.07,C
Soybean,B,Peaty,6.7,12.99,34.62,95.47,2.31,27.5,0.1,MOP,87.17,Drip,Biweekly,7735.55,C
Soybean,C,Peaty,7.9,27.25,25.52,86.32,4.01,16.2,127.2,MOP,34.45,Drip,Biweekly,1983.81,D
Soybean,B,Silty,7.7,99.77,28.32,18.38,3.35,20.4,96.5,MOP,49.44,Sprinkler,Biweekly,5004.81,D
Soybean,C,Clay,7.7,74.85,17.65,92.32,1.84,34,104.3,Compost,87.87,Drip,Monthly,4359.88,A
Soybean,A,Silty,7.5,51.23,19.2,99.13,3.85,20,34.7,Compost,89.8,Manual,Biweekly,7214.64,B
Cotton,A,Peaty,6.8,67.63,16.68,80.39,3.81,18.7,119.6,Urea,79.74,Sprinkler,Weekly,2088.95,D
Cotton,C,Silty,6.9,69.71,38.4,50.34,4.73,21.1,171.1,Compost,60.49,Sprinkler,Daily,1263.03,B
Soybean,C,Clay,6.5,25.14,5.69,27.75,2.79,26.6,176.2,Organic,48.06,Manual,Biweekly,4736.93,E
Maize,D,Loamy,7.5,95.78,14.08,65.72,2.12,30.4,189.1,Urea,92.38,Manual,Daily,4035.2,A
Maize,B,Silty,5.7,12.44,37.46,71.21,4.16,31.7,199.8,Compost,99.54,Drip,Weekly,7547.46,E
Rice,C,Silty,7.6,99.41,14.1,14.95,4.19,29.7,143.5,DAP,81.99,Flood,Daily,3691.82,E
Wheat,C,Loamy,6.6,98.57,25.58,82.72,1.13,19.2,34.1,MOP,58.37,Manual,Weekly,5429.34,D
Wheat,B,Peaty,6.1,96.2,6.15,23.41,2.25,26.7,72.3,Urea,46.36,Sprinkler,Monthly,5450.71,C
Rice,B,Loamy,6.2,44.7,6.61,87.05,2.04,19.1,156,Compost,85.95,Sprinkler,Monthly,6393.38,B
Cotton,A,Peaty,7,50.13,30.34,82.36,4.85,27.8,123.1,Urea,31.11,Flood,Weekly,1396.86,D
